uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"655d7432-2502-43af-a32a-1de699c7fdb6","HARV_022.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_022","NEON.PLA.D01.HARV.10107",,"ok","small tree","Live",2.1,130,,3.3,,,,3.1,1.4,,,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0002-1884-3191",,
"28f3d972-1b23-41c3-b07e-a2f8227b292a","HARV_033.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_033","NEON.PLA.D01.HARV.05660",,"ok","single bole tree","Live",50.8,130,,24.0,,,,,,,,,,,,,,,,,,,,,"0000-0001-9529-4416","0000-0001-6073-9358",,
"01cd7b9e-048e-47de-8ec8-a56cb052c7e5","HARV_022.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_022","NEON.PLA.D01.HARV.01235",,"ok","single bole tree","Standing dead",12.0,130,,12.6,,,,2.8,2.4,"Mostly shaded",,,,,,,,,,,,,,"Cause of death unknown.","0000-0003-1933-3182","0000-0002-1884-3191",,
"b15cd3db-c5d6-4516-b796-01dd3d64e707","HARV_022.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_022","NEON.PLA.D01.HARV.09937",,"ok","small tree","Standing dead",9.2,130,,8.0,,,,2.8,2.0,,,,,,,,,,,,,,,"Cause of death unknown.","0000-0003-1933-3182","0000-0002-1884-3191",,
"a59c4ca4-0433-4528-8aae-68d318c82a30","HARV_033.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_033","NEON.PLA.D01.HARV.03531",,"tagRemoved",,"No longer qualifies",,,,,,,,,,,,,,,,,,,,,,,,"Part of 3555; tag removed in 2018.","0000-0001-9529-4416","0000-0001-6073-9358",,
"7f09e6b7-89e0-44e0-aca7-a1a4ce298e52","HARV_033.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_033","NEON.PLA.D01.HARV.10887",,"ok","sapling","Live",,,,0.6,,,,,,,,1.0,10,,,,,,,,,,,,"0000-0001-9529-4416","0000-0001-6073-9358",,
"caef8277-b68b-44fe-9523-773710ad5d28","HARV_033.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_033","NEON.PLA.D01.HARV.05647",,"ok","single bole tree","Live",12.0,130,,15.1,,,,,,,,,,,,,,,,,,,,,"0000-0001-9529-4416","0000-0001-6073-9358",,
"116af1e4-0b5d-46b7-aeaa-4d8efd4ff528","HARV_033.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_033","NEON.PLA.D01.HARV.10858",,"ok","small tree","Live, insect damaged",2.0,130,,2.9,,,,,,,,,,,,,,,,,,,,"Crown damaged by hemlock woolly adelgid.","0000-0001-9529-4416","0000-0001-6073-9358",,
"779b2ce6-9720-43da-ba13-78f5a891d8f7","HARV_022.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_022","NEON.PLA.D01.HARV.09922",,"ok",,"Downed",,,,,,,,,,,,,,,,,,,,,,,,"Cause of death unknown.","0000-0003-1933-3182","0000-0002-1884-3191",,
"88a3a51e-ef07-4236-931b-c9278b06a86b","HARV_022.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_022","NEON.PLA.D01.HARV.01205",,"ok","small tree","Live",1.1,130,,2.2,,,,1.8,1.5,,,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0002-1884-3191",,
"9064b134-ff3d-417c-ba6b-b54b418d89b8","HARV_033.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_033","NEON.PLA.D01.HARV.03588",,"ok","small tree","Live, broken bole",5.1,130,,4.0,,3.0,2.0,,,,,,,,,,,,,,,,,"Break likely caused by storm damage or a larger tree falling and hitting this individual.","0000-0001-9529-4416","0000-0001-6073-9358",,
"fb797181-2a40-4924-afe9-356fa8772217","HARV_022.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_022","NEON.PLA.D01.HARV.10112",,"ok","sapling","Live",,,,1.2,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0003-1933-3182","0000-0002-1884-3191",,
"ad85132e-f30f-44f1-8579-6cbe537ebbbe","HARV_033.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_033","NEON.PLA.D01.HARV.05620",,"ok","single bole tree","Standing dead",18.5,130,,18.5,,,,,,,,,,,,,,,,,,,,"No known cause of death.","0000-0001-9529-4416","0000-0001-6073-9358",,
"56716ba2-6d17-4e66-9d7c-6eb3d708d9a2","HARV_022.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_022","NEON.PLA.D01.HARV.09990",,"ok","small tree","Standing dead",4.4,130,,9.0,,,,5.2,3.3,,,,,,,,,,,,,,,"Unknown cause of death","0000-0003-1933-3182","0000-0002-1884-3191",,
"193f87cd-d233-410a-96b5-8e3cd5c2b293","HARV_033.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_033","NEON.PLA.D01.HARV.03549",,"ok","small tree","Live, insect damaged",1.9,130,,2.8,,,,,,,,,,,,,,,,,,,,"Crown damaged by hemlock woolly adelgid.","0000-0001-9529-4416","0000-0001-6073-9358",,
"ae0bfbb5-a138-4123-8d24-38c1f57294a0","HARV_033.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_033","NEON.PLA.D01.HARV.05667",,"ok","single bole tree","Live",14.9,130,,15.6,,,,,,,,,,,,,,,,,,,,,"0000-0001-9529-4416","0000-0001-6073-9358",,
"d5af2bd5-3fba-41dd-9ed9-5c608b86a9a4","HARV_022.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_022","NEON.PLA.D01.HARV.09997",,"ok","small tree","Live",2.0,130,,4.3,,,,2.4,1.4,,,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0002-1884-3191",,
"d3aefb45-19b5-4f9b-b987-e6b30231ae93","HARV_033.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_033","NEON.PLA.D01.HARV.05628",,"ok","single bole tree","Standing dead",12.9,135,,9.4,,,,,,,,,,,,,,,,,,,,"Measurement height is at 135 to avoid an irregularity. No known cause of death.","0000-0001-9529-4416","0000-0001-6073-9358",,
"afb529b2-a880-45bd-b615-9c76959ce0e7","HARV_022.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_022","NEON.PLA.D01.HARV.01440",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found.","0000-0003-1933-3182","0000-0002-1884-3191",,
"74a282ad-f316-4d63-a578-a8d2b1ac87c6","HARV_022.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_022","NEON.PLA.D01.HARV.01422",,"ok","single bole tree","Live",46.5,130,,22.5,,,,6.3,6.2,"Full sun",,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0002-1884-3191",,
"eb3169dc-ed89-4476-ad13-98827d82c925","HARV_033.basePlot.vst","2019-10-03","vst_HARV_2019","D01","HARV","HARV_033","NEON.PLA.D01.HARV.05618",,"ok",,"Downed",,,,,,,,,,,,,,,,,,,,,,,,"Tree is dead and leaning more than 45 degrees from vertical. No known cause of death.","0000-0001-9529-4416","0000-0001-6073-9358",,
