uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"9d60e5e2-3014-415a-9111-d84038c68f62","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.09511",,"ok","small tree","Live",2.6,130,,4.9,,,,3.2,3.1,,,,,,,,,,,,,,,,"0000-0002-8951-4934","0000-0001-6093-9384",,
"c4788e9b-228e-4c37-9afa-a30c2294abbd","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01631",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"a1865870-8008-4c52-bd83-fefe7f1bddaa","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01829",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"05f207e3-0063-4eba-a585-b3b84eae0bf7","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01844",,"ok","small tree","Live",3.8,130,,5.3,,,,4.0,3.4,,,,,,,,,,,,,,,,"0000-0002-8951-4934","0000-0001-6093-9384",,
"6eb8eb69-f56e-400a-8dfc-bf5b9fd5ec64","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01815",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"a9117c82-a8e5-4ec5-85a2-948c2f26dc69","HARV_025.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_025","NEON.PLA.D01.HARV.02183",,"ok","small tree","Live",5.9,130,,6.4,,,,4.4,4.3,,,,,,,,,,,,,,,,"0000-0001-9529-4416","0000-0002-4386-3362",,
"8d685d23-4155-4705-8bb4-60f7c70b6d7d","HARV_025.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_025","NEON.PLA.D01.HARV.02168",,"ok","single bole tree","Live",30.8,130,,23.4,,,,9.4,9.3,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9529-4416","0000-0002-4386-3362",,
"693bc4b4-1d21-4d94-b1c2-85112beee83b","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01838",,"ok","single bole tree","Standing dead",40.6,130,,18.9,,,,12.1,11.4,"Full sun",,,,,,,,,,,,,,"Death possibly caused by gypsy moths.","0000-0002-8951-4934","0000-0001-6093-9384",,
"1eeb891f-05eb-433a-8e6f-b9c58fc7f8cc","HARV_025.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_025","NEON.PLA.D01.HARV.02170B",,"tagRemoved",,"No longer qualifies",,,,,,,,,,,,,,,,,,,,,,,,"Single shrub stems no longer receive lettered tags. New record made using tag #2170.","0000-0001-9529-4416","0000-0002-4386-3362",,
"e4326f96-adc8-43d9-9ef6-8e1f4a05e7e1","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01637",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"fef98d26-f86f-41f1-a4e3-f91fef08fdab","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01620",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"3d3762d1-04fe-4b4b-a0ec-f57748559a3a","HARV_025.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_025","NEON.PLA.D01.HARV.10704",,"ok","sapling","Standing dead",,,,2.0,,,,,,,,1.7,10,,,,,,,,,,,"Possible cause of death is forest succession.","0000-0001-9529-4416","0000-0002-4386-3362",,
"6a9526b9-1679-4ec0-9156-11d42b93015c","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01690",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"4d515a8d-3dd9-48b7-8ab6-536c345641d8","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.09520",,"ok","small tree","Live",8.1,130,,8.2,,,,5.5,4.7,,,,,,,,,,,,,,,,"0000-0002-8951-4934","0000-0001-6093-9384",,
"8561d3fd-bd95-4ce0-9ad7-695237d8cd1d","HARV_025.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_025","NEON.PLA.D01.HARV.02200",,"ok","single bole tree","Live, insect damaged",43.1,130,,16.0,,,,11.7,9.9,"Mostly shaded",,,,,,,,,,,,,,"Crown damage caused by woolly adelgid.","0000-0001-9529-4416","0000-0002-4386-3362",,
"44e0b0e1-ba7f-42f6-bc4e-2f738048ba95","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01622",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"5dd66d40-0226-4a46-9707-8ccd070879dc","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01662",,"ok","small tree","Live",2.5,130,,3.2,,,,2.0,1.4,,,,,,,,,,,,,,,,"0000-0002-8951-4934","0000-0001-6093-9384",,
"8654ac16-8fae-45c1-876f-565f1890d7ed","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01832",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"909733d7-fca0-4e00-866a-04e8a4e8d4ff","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01657",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"7b924141-848c-4437-9891-4da0be92cc3d","HARV_025.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_025","NEON.PLA.D01.HARV.09771",,"ok","small tree","Dead, broken bole",8.9,130,,3.6,,3.6,3.0,2.3,1.6,,,,,,,,,,,,,,,"Possible causes of death and break include damage caused by woolly adelgid and storm damage.","0000-0001-9529-4416","0000-0002-4386-3362",,
"83e860c3-5e88-42e3-a14c-0f6d4f6c0826","HARV_025.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_025","NEON.PLA.D01.HARV.02193",,"ok","small tree","Live",2.8,130,,5.2,,,,3.9,3.4,,,,,,,,,,,,,,,,"0000-0001-9529-4416","0000-0002-4386-3362",,
"eea34bbe-a0ce-4c8e-82a9-738b352d6ef5","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01605",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"903abcda-5c05-49ac-9dcb-7ea2edf7e64d","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01634",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"06fcb111-fc4a-46dd-aa71-c8456a6352c5","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01640",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"12864793-4fe4-41b3-9260-000cd143511d","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01859",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"2b1da579-3be2-4a2a-bd1a-93d54e34f8f3","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01619",,"ok","single bole tree","Live, disease damaged",10.1,130,,7.0,,,,5.9,4.9,"Partially shaded",,,,,,,,,,,,,,"Leaf spot disease in crown. Black spots with yellow ring possibly indicates tar spot disease.","0000-0002-8951-4934","0000-0001-6093-9384",,
"414998c6-54ec-4aac-828a-0dbe1186f50c","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01806",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"0379c668-fc47-4e1b-acd4-84b53cd0c108","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01674",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"cda9e584-3c43-461f-a838-1f8ffe447426","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01867",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
"73229a10-1074-4e84-a0dd-60378f7ff255","HARV_025.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_025","NEON.PLA.D01.HARV.09769",,"ok","small tree","Live",3.5,130,,5.8,,,,3.2,2.9,,,,,,,,,,,,,,,,"0000-0001-9529-4416","0000-0002-4386-3362",,
"21acbcf5-6a0d-4de9-a999-e14ef1a4ebf7","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01842",,"ok","small shrub","Live, insect damaged",,,,1.3,0.7,,,0.9,0.6,,"ellipsoid or sphere",1.0,10,,,,,,,,,,,"Unknown insect damage in crown","0000-0002-8951-4934","0000-0001-6093-9384",,
"014940f8-f206-4822-8394-c7d5e868796a","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.09518",,"tagRemoved",,"Downed",,,,,,,,,,,,,,,,,,,,,,,,"Tag removed. Too small for CDW","0000-0002-8951-4934","0000-0001-6093-9384",,
"530fe959-327c-4b34-b88e-7843a0f45226","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01390",,"tagRemoved",,"No longer qualifies",,,,,,,,,,,,,,,,,,,,,,,,"Tag removed. Small tree individual not rooted in nested subplot.","0000-0002-8951-4934","0000-0001-6093-9384",,
"8cc3fdd0-7c37-442c-bb84-5181accd1397","HARV_025.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_025","NEON.PLA.D01.HARV.02174",,"ok","small tree","Live",8.2,130,,12.6,,,,4.9,4.7,,,,,,,,,,,,,,,"DBH measurement height moved from 115cm to 130cm","0000-0001-9529-4416","0000-0002-4386-3362",,
"50eddd0b-fde6-4331-9a29-dc676adece76","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.10712",,"ok","sapling","Live",,,,1.8,,,,,,,,1.3,10,,,,,,,,,,,,"0000-0002-8951-4934","0000-0001-6093-9384",,
"0844f185-3faf-4cf3-b6ca-195871e82468","HARV_010.basePlot.vst","2019-09-05","vst_HARV_2019","D01","HARV","HARV_010","NEON.PLA.D01.HARV.01635",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-8951-4934","0000-0001-6093-9384",,
