uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"f9838baa-5e97-4068-99e2-06466ef0a541","HARV_012.basePlot.vst","2019-08-08","vst_HARV_2019","D01","HARV","HARV_012","NEON.PLA.D01.HARV.02365",,"ok","small shrub","Live",,,,1.2,0.4,,,0.8,0.7,,"ellipsoid or sphere",1.1,10,,,,,,,,,,,,"0000-0002-5456-0404","0000-0003-2931-6669",,
"b467a804-4045-4675-ba91-532542cefba8","HARV_012.basePlot.vst","2019-08-08","vst_HARV_2019","D01","HARV","HARV_012","NEON.PLA.D01.HARV.10059",,"ok","small tree","Live",1.7,130,,3.1,,,,2.3,1.5,,,,,,,,,,,,,,,,"0000-0002-5456-0404","0000-0003-2931-6669",,
"1cb18d4f-fa99-49dd-a100-ae45eaf53715","HARV_012.basePlot.vst","2019-08-08","vst_HARV_2019","D01","HARV","HARV_012","NEON.PLA.D01.HARV.09730",,"tagRemoved",,"No longer qualifies",,,,,,,,,,,,,,,,,,,,,,,,"Outside nested plot","0000-0002-5456-0404","0000-0003-2931-6669",,
"f8d26568-c9cc-4ca3-a733-6a64c5aee372","HARV_012.basePlot.vst","2019-08-08","vst_HARV_2019","D01","HARV","HARV_012","NEON.PLA.D01.HARV.02363",,"tagRemoved",,"No longer qualifies",,,,,,,,,,,,,,,,,,,,,,,,"Not in nested subplot","0000-0002-5456-0404","0000-0003-2931-6669",,
"913166c1-173e-4a13-84ab-1c7d4f6fa43a","HARV_012.basePlot.vst","2019-08-08","vst_HARV_2019","D01","HARV","HARV_012","NEON.PLA.D01.HARV.03378",,"ok",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Tag not found","0000-0002-5456-0404","0000-0003-2931-6669",,
"6a140f1e-d269-4e41-bec1-83bce1775ba5","HARV_012.basePlot.vst","2019-08-08","vst_HARV_2019","D01","HARV","HARV_012","NEON.PLA.D01.HARV.03358",,"ok","small tree","Live",1.2,130,,2.3,,,,1.9,1.7,,,,,,,,,,,,,,,,"0000-0002-5456-0404","0000-0003-2931-6669",,
"83a054bc-bbd0-4b7c-aa84-a81612898056","HARV_012.basePlot.vst","2019-08-08","vst_HARV_2019","D01","HARV","HARV_012","NEON.PLA.D01.HARV.02376",,"ok","small tree","Live",2.2,130,,5.1,,,,2.2,2.1,,,,,,,,,,,,,,,,"0000-0002-5456-0404","0000-0003-2931-6669",,
"a26e378f-6924-4c29-b386-9a2895312626","HARV_012.basePlot.vst","2019-08-08","vst_HARV_2019","D01","HARV","HARV_012","NEON.PLA.D01.HARV.03384A",,"ok","multi-bole tree","Standing dead",45.2,130,,20.5,,,,18.1,16.3,"Full sun",,,,,,,,,,,,,,"Determined by mapping data because tag removed for logging","0000-0002-5456-0404","0000-0003-2931-6669",,
"2c850b48-3af1-40f7-8d1a-787970fed0f5","HARV_012.basePlot.vst","2019-08-08","vst_HARV_2019","D01","HARV","HARV_012","NEON.PLA.D01.HARV.03348",,"ok","small tree","Live",3.6,130,,4.9,,,,4.0,2.3,,,,,,,,,,,,,,,,"0000-0002-5456-0404","0000-0003-2931-6669",,
"0c32acd5-024e-468a-9fe6-160ff2d80307","HARV_012.basePlot.vst","2019-08-08","vst_HARV_2019","D01","HARV","HARV_012","NEON.PLA.D01.HARV.09729",,"ok","sapling","Live",,,,1.9,,,,,,,,1.4,10,,,,,,,,,,,,"0000-0002-5456-0404","0000-0003-2931-6669",,
