uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"5b4d62ae-51e7-437d-81c8-897bbc5135cc","HARV_038.basePlot.vst","2021-08-09","vst_HARV_2021","D01","HARV","HARV_038","NEON.PLA.D01.HARV.05755","1","ok","multi-bole tree","Live",34.4,130,"noChange",21.0,,,,10.5,6.4,"Full sun",,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0002-4682-3753","58b803d5-465c-40ca-9f95-d4543e14f5be",
"a2714e26-8880-4a23-84d6-0f2d8c5caf2d","HARV_033.basePlot.vst","2021-08-09","vst_HARV_2021","D01","HARV","HARV_033","NEON.PLA.D01.HARV.03555","1","ok","small tree","Live",1.8,130,"noChange",3.8,,,,3.0,2.8,"Mostly shaded",,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0002-7459-3860","32166b40-6dd9-4c91-9274-9a70ebeafd78",
"728defe7-5f01-4270-ace9-b620b6defef4","HARV_038.basePlot.vst","2021-08-09","vst_HARV_2021","D01","HARV","HARV_038","NEON.PLA.D01.HARV.04484","1","ok","small tree","Live, insect damaged",2.5,130,"noChange",2.7,,,,2.8,2.4,"Full shade",,,,,,,,,,,,,,"Hemlock woolly adelgid crown damage","0000-0003-1933-3182","0000-0002-4682-3753","5515a60a-d6cb-4d3c-b69a-6d32504653a2",
"178a8644-e2c8-4ac0-91a6-60f6fc700464","HARV_033.basePlot.vst","2021-08-09","vst_HARV_2021","D01","HARV","HARV_033","NEON.PLA.D01.HARV.03120","1","ok","sapling","Live, physically damaged",,,"noChange",0.9,,,,,,"Full shade",,1.4,10,,,,,,,,,,,"Dead branches in crown; unknown cause","0000-0003-1933-3182","0000-0002-7459-3860","a47551bb-878b-4cb6-97bf-bf79c37ae3f3",
"4f947506-a31e-4f23-b963-b69fa9d8302d","HARV_038.basePlot.vst","2021-08-09","vst_HARV_2021","D01","HARV","HARV_038","NEON.PLA.D01.HARV.04490","1","ok","small tree","Live",6.3,130,"noChange",8.5,,,,4.5,4.4,"Mostly shaded",,,,,,,,,,,,,,"Minor insect damage in crown possibly caused by gypsy moth caterpillars.","0000-0003-1933-3182","0000-0002-4682-3753","369bc6ac-5f60-41d2-8981-e3ba50ca7d4a",
"46b4f0da-8440-400c-8ff2-4b9ba27e955b","HARV_038.basePlot.vst","2021-08-09","vst_HARV_2021","D01","HARV","HARV_038","NEON.PLA.D01.HARV.05750","1","ok","single bole tree","Standing dead",16.0,130,"noChange",12.8,,,,4.9,1.3,"Partially shaded",,,,,,,,,,,,,,"Unknown cause of death.","0000-0003-1933-3182","0000-0002-4682-3753","cc2fe9d7-9c25-4702-b9fc-0ea07006db42",
"101ecf31-b8d8-4a99-a11d-7312db609255","HARV_038.basePlot.vst","2021-08-09","vst_HARV_2021","D01","HARV","HARV_038","NEON.PLA.D01.HARV.05769","1","ok",,"Downed",,,"noChange",,,,,,,,,,,,,,,,,,,,,"Now may be measured as part of the coarse downed wood protocol. Unknown cause of death.","0000-0003-1933-3182","0000-0002-4682-3753","ae354133-f55f-45b7-9170-12a46fac9902",
"930385d3-e62a-4c23-9fdc-5dd3fe1bfe86","HARV_033.basePlot.vst","2021-08-09","vst_HARV_2021","D01","HARV","HARV_033","NEON.PLA.D01.HARV.05647","1","ok","single bole tree","Live",12.3,130,"noChange",14.9,,,,10.0,9.9,"Mostly shaded",,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0002-7459-3860","702eab60-2ec0-4c67-b0b7-80215881749a",
"f40d9fc7-3941-4b89-8fbd-9985c8d4a5f0","HARV_038.basePlot.vst","2021-08-09","vst_HARV_2021","D01","HARV","HARV_038","NEON.PLA.D01.HARV.04171","1","ok","sapling","Standing dead",,,"noChange",1.3,,,,,,"Full shade",,2.3,10,,,,,,,,,,,"Death possibly caused by hemlock woolly adelgid.","0000-0003-1933-3182","0000-0002-4682-3753","9a923b08-27ea-494c-a190-5c256b9d3072",
"c18a5f5c-7a00-4f29-8ed4-0032905cdffb","HARV_033.basePlot.vst","2021-08-09","vst_HARV_2021","D01","HARV","HARV_033","NEON.PLA.D01.HARV.05627","1","ok","single bole tree","Live",44.3,130,"noChange",26.8,,,,6.8,6.5,"Full sun",,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0002-7459-3860","3227a9c0-65ce-41a9-8344-28a43716ca81",
