uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"7651eb17-4024-49de-b431-b2a14070a2be","HARV_038.basePlot.vst","2020-08-15","vst_HARV_2020","D01","HARV","HARV_038","NEON.PLA.D01.HARV.05720","1","ok","single bole tree","Live, insect damaged",25.2,130,"noChange",12.8,,,,7.7,6.4,"Mostly shaded",,,,,,,,,,,,,,"Hemlock woolly adelgid crown damage.","0000-0002-8368-2283","0000-0003-1933-3182","db3ace7d-0859-4a17-af1a-57076159d1bc",
"366b0fbc-2ba1-400f-8aa3-857551d84b90","HARV_038.basePlot.vst","2020-08-15","vst_HARV_2020","D01","HARV","HARV_038","NEON.PLA.D01.HARV.05741","1","ok","single bole tree","Live",42.5,130,"noChange",27.6,,,,5.1,3.1,"Full sun",,,,,,,,,,,,,,,"0000-0002-8368-2283","0000-0003-1933-3182","6f6ad652-5f31-45ba-9006-3e5292d140ea",
"e03f80f2-dea0-444b-9e29-21a172686922","HARV_038.basePlot.vst","2020-08-15","vst_HARV_2020","D01","HARV","HARV_038","NEON.PLA.D01.HARV.04497","1","ok","small tree","Live, insect damaged",2.1,130,"noChange",2.7,,,,2.3,2.2,"Full shade",,,,,,,,,,,,,,"Dead branches in crown possibly caused by hemlock woolly adelgid","0000-0002-8368-2283","0000-0003-1933-3182","d10dbd9d-b127-4156-8ced-34299fffca86",
"a5ad33c2-3d2c-413e-8a24-fc63806d317d","HARV_038.basePlot.vst","2020-08-15","vst_HARV_2020","D01","HARV","HARV_038","NEON.PLA.D01.HARV.05712","1","ok","single bole tree","Live",37.8,130,"noChange",21.8,,,,12.9,10.8,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-8368-2283","0000-0003-1933-3182","9a5820e1-dd49-4e94-8b3e-100c68e7e950",
"e85cf481-236e-4632-a1af-b8b5c8aee485","HARV_038.basePlot.vst","2020-08-15","vst_HARV_2020","D01","HARV","HARV_038","NEON.PLA.D01.HARV.05733","1","ok","single bole tree","Live, insect damaged",18.8,130,"noChange",12.8,,,,6.8,5.6,"Mostly shaded",,,,,,,,,,,,,,"Hemlock woolly adelgid crown damage.","0000-0002-8368-2283","0000-0003-1933-3182","f4ca106e-1f45-4087-a69b-5f0d9eeeb5d6",
"e25f98b8-e9d1-4e84-b8fc-dcf9efe5608d","HARV_038.basePlot.vst","2020-08-15","vst_HARV_2020","D01","HARV","HARV_038","NEON.PLA.D01.HARV.05724","1","ok","single bole tree","Live",25.0,130,"noChange",18.2,,,,7.3,4.2,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-8368-2283","0000-0003-1933-3182","d18b530a-90d4-42af-81f5-1a2fabd1afa7",
"9155dfd5-db4a-4d07-a5be-c52c0e2786d3","HARV_038.basePlot.vst","2020-08-15","vst_HARV_2020","D01","HARV","HARV_038","NEON.PLA.D01.HARV.04494","1","ok","small tree","Live",1.9,130,"noChange",3.1,,,,2.8,1.2,"Full shade",,,,,,,,,,,,,,,"0000-0002-8368-2283","0000-0003-1933-3182","37d6c643-da17-4414-84ff-2f7b42823c5b",
"12669239-9247-42db-b041-8eb993c22a50","HARV_038.basePlot.vst","2020-08-15","vst_HARV_2020","D01","HARV","HARV_038","NEON.PLA.D01.HARV.05746","1","ok","single bole tree","Live, insect damaged",12.1,130,"noChange",6.9,,,,5.1,5.1,"Mostly shaded",,,,,,,,,,,,,,"Wooly Adelgid damage on crown.","0000-0002-8368-2283","0000-0003-1933-3182","960704fd-2495-4e32-a5b1-e2c650e6871d",
"74935551-342b-4f98-b1d1-96f3dd19cf5e","HARV_038.basePlot.vst","2020-08-15","vst_HARV_2020","D01","HARV","HARV_038","NEON.PLA.D01.HARV.04147","1","ok","single bole tree","Live",13.6,125,"noChange",8.3,,,,7.6,4.6,"Mostly shaded",,,,,,,,,,,,,,,"0000-0002-8368-2283","0000-0003-1933-3182","9d8a0425-cdd5-4a46-95f1-c2281b0268bf",
"6e8aa4a4-511e-4f25-97f1-2e2fb5a8fcf6","HARV_038.basePlot.vst","2020-08-15","vst_HARV_2020","D01","HARV","HARV_038","NEON.PLA.D01.HARV.05765B","3","ok","multi-bole tree","Live",25.6,153,"noChange",,,,,,,,,,,,,,,,,,,,,,"0000-0002-8368-2283","0000-0003-1933-3182","173c9b21-0c66-490d-9ba3-dbc160a48705",
